City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Mathbaria,BD,22.2876,89.9593,87.82,61,45,12.86,scattered clouds
331,Sabha,LY,27.0377,14.4283,61.66,41,2,4.76,clear sky
332,Aden,YE,12.7794,45.0367,81.55,77,46,3.04,scattered clouds
333,Asfi,MA,32.2994,-9.2372,63.3,82,98,11.05,overcast clouds
334,Lake Havasu City,US,34.4839,-114.3224,92.07,9,0,1.01,clear sky
335,Moi,NO,58.4567,6.5518,38.39,77,35,3.62,scattered clouds
336,Togur,RU,58.3631,82.8265,30.29,70,92,8.39,overcast clouds
337,Mehamn,NO,71.0357,27.8492,39.52,96,100,13.47,overcast clouds
338,Luanda,AO,-8.8368,13.2343,76.23,92,100,7.65,overcast clouds
339,Bulancak,TR,40.9372,38.2291,57.02,67,75,8.05,broken clouds
340,Pyaozerskiy,RU,65.8333,31.1667,35.19,97,100,2.93,snow
341,Shubarkuduk,KZ,49.1447,56.4872,49.53,62,2,2.42,clear sky
342,Waddan,LY,29.1614,16.139,58.41,64,0,1.66,clear sky
343,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,40,15.5,scattered clouds
